bucket,file,candidates,ballots,STAR,IRV,IRV_rev,RR_weak,RR_strict,Approval,Score,Condorcet_weak,Condorcet_strict,tie_ballots,irv_fragile,rr_conv_sensitive,cycle
APPROVAL_OR_MINOR,01_STAR/_main/04b_c4_b3_display-options-all.yaml,4,3,Strawberry,Strawberry,Strawberry,Strawberry,Strawberry,Vanilla,Strawberry,Strawberry,Strawberry,0,False,False,False
APPROVAL_OR_MINOR,01_STAR/_main/bv2182_tg4779_faq_runoff_reversal.yaml,3,10,Almond,Almond,Almond,Almond,Almond,Berry,Berry,Almond,Almond,1,False,False,False
APPROVAL_OR_MINOR,01_STAR/majority_criterion/bv95a_9m6rxr_favorite_survives_one_rival.yaml,3,5,Ada,Ada,Ada,Ada,Ada,Bruno,Bruno,Ada,Ada,2,False,False,False
APPROVAL_OR_MINOR,01_STAR/runoff_overturns_leader/01a_c3_b3_more-stars-fewer-voters.yaml,3,3,Brownie,Brownie,Brownie,Brownie,Brownie,Almond,Almond,Brownie,Brownie,0,False,False,False
APPROVAL_OR_MINOR,01_STAR/runoff_overturns_leader/01b_c3_b9_overturn-holds-at-scale.yaml,3,9,Brownie,Brownie,Brownie,Brownie,Brownie,Almond,Almond,Brownie,Brownie,0,False,False,False
APPROVAL_OR_MINOR,01_STAR/runoff_overturns_leader/02_c5_b5_leader-overturned.yaml,5,5,Boston,Boston,Boston,Boston,Boston,Austin,Austin,Boston,Boston,0,False,False,False
APPROVAL_OR_MINOR,01_STAR/runoff_overturns_leader/03_c7_b3_ice-cream-live.yaml,7,3,ChocoAlm,ChocoAlm,ChocoAlm,ChocoAlm,ChocoAlm,ChocoDrk,ChocoDrk,ChocoAlm,ChocoAlm,0,False,False,False
APPROVAL_OR_MINOR,01_STAR/runoff_overturns_leader/05_c3_b5_low-scores-bv1265.yaml,3,5,A,A,A,A,A,C,C,A,A,1,False,False,False
APPROVAL_OR_MINOR,01_STAR/runoff_overturns_leader/Runoff_02_atom_reversal_yx9447.yaml,3,3,Boston,Boston,Boston,Boston,Boston,Austin,Austin,Boston,Boston,0,False,False,False
APPROVAL_OR_MINOR,01_STAR/runoff_overturns_leader/Runoff_03_enthusiasts_vs_majority_rkgtpk.yaml,5,5,Eden,Eden,Eden,Eden,Eden,Dakota,Dakota,Eden,Eden,0,False,False,False
APPROVAL_OR_MINOR,01_STAR/runoff_overturns_leader/Runoff_04_reversal_at_scale_bfjqmg.yaml,3,9,Olive,Olive,Olive,Olive,Olive,Maple,Maple,Olive,Olive,0,False,False,False
APPROVAL_OR_MINOR,01_STAR/runoff_overturns_leader/Runoff_05_reversal_with_equal_support_xgkw3w.yaml,3,5,Sage,Sage,Rosa,Sage,Sage,Rosa,Rosa,Sage,Sage,2,True,False,False
APPROVAL_OR_MINOR,01_STAR/runoff_overturns_leader/Runoff_07_flat_ballot_bv_bug_tf73v9.yaml,3,4,Blair,Blair,Alex,Blair,Blair,Alex,Alex,Blair,,1,True,False,True
APPROVAL_OR_MINOR,01_STAR/runoff_overturns_leader/reversal_jarring_c3_b100.yaml,3,100,Rye,Rye,Rye,Rye,Rye,Uma,Uma,Rye,Rye,0,False,False,False
APPROVAL_OR_MINOR,01_STAR/tie_break_ladder/bv2180_fp62p2_ice_cream_ladder.yaml,6,2,Strawberry,Strawberry,Strawberry,Strawberry,Strawberry,Chocolate,Strawberry,,,2,False,False,True
APPROVAL_OR_MINOR,method_comparisons/BV_Library/BV_Library_star_runoff_score_tie_five_star.yaml,2,2,Allison,Allison,Allison,Allison,Allison,Bill,Allison,,,0,False,False,True
APPROVAL_OR_MINOR,method_comparisons/_main/count_simplicity_star_vs_irv.yaml,5,40,Carmen,Carmen,Carmen,Carmen,Carmen,Andre,Carmen,Carmen,Carmen,0,False,False,False
APPROVAL_OR_MINOR,method_comparisons/black_curtain/Black_Curtain_01_c3_b5_hidden-consensus.yaml,3,5,Cal,Cal,Cal,Cal,Cal,Bob,Bob,Cal,Cal,0,False,False,False
APPROVAL_OR_MINOR,method_comparisons/black_curtain/Black_Curtain_02_c3_b5_near-clones.yaml,3,5,Cal,Cal,Cal,Cal,Cal,Ann,Cal,Cal,Cal,0,False,False,False
APPROVAL_OR_MINOR,method_comparisons/black_curtain/Black_Curtain_03_c3_b5_polarized-on-cal.yaml,3,5,Cal,Cal,Cal,Cal,Cal,Ann,Ann,Cal,Cal,0,False,False,False
APPROVAL_OR_MINOR,method_comparisons/edelman_condorcet_myth/bv2173_gmfv4c_edelman_saari_cancellation.yaml,3,81,Ada,Ada,Ada,Ada,Ada,Ben,Ben,Ada,Ada,0,False,False,False
APPROVAL_OR_MINOR,method_comparisons/felsenthal_paradoxes/bv2148_h87k6v_star.yaml,3,15,Bruno,Bruno,Bruno,Bruno,Bruno,Cora,Bruno,Bruno,Bruno,0,False,False,False
APPROVAL_OR_MINOR,method_comparisons/felsenthal_paradoxes/bv2161_q3h4fk_star.yaml,3,7,C,C,C,C,C,B,C,,,0,False,False,True
APPROVAL_OR_MINOR,method_comparisons/felsenthal_paradoxes/bv2164_xbqq8t_star.yaml,4,33,Arlo,Arlo,Arlo,Arlo,Arlo,Bree,Bree,Arlo,Arlo,0,False,False,False
APPROVAL_OR_MINOR,method_comparisons/felsenthal_paradoxes/bv2166_b7b8dv_star.yaml,3,13,Cass,Cass,Cass,Cass,Cass,Amy,Cass,,,0,False,False,True
APPROVAL_OR_MINOR,method_comparisons/paradoxes_and_whoops/bv2157_mmcmpy_condorcet_cycle_rps.yaml,3,100,Rock,Rock,Rock,Rock,Rock,Paper,Rock,,,0,False,False,True
APPROVAL_OR_MINOR,method_comparisons/postit_rcv_example/bv2178_8kg698_star.yaml,4,20,Blue,Blue,Blue,Blue,Blue,Pink,Purple,Blue,Blue,0,False,False,False
APPROVAL_OR_MINOR,method_comparisons/summability_demo/star_district_B.yaml,3,3,Oak,Oak,Oak,Oak,Oak,Pine,Pine,Oak,Oak,0,False,False,False
CYCLE_OR_THREE_WAY,01_STAR/tie_break_dead_rung/lot_random_vs_published_jfk7pd/lot_random_vs_published_jfk7pd_bv_order.yaml,2,2,Ben,Ada,Ada,Ben,Ben,Ben,Ben,,,0,False,False,True
CYCLE_OR_THREE_WAY,01_STAR/tie_break_dead_rung/three_way_dead_rung_tie/three_way_dead_rung_A.yaml,3,3,A,B,B,A,A,A,A,,,0,False,False,True
CYCLE_OR_THREE_WAY,01_STAR/tie_break_dead_rung/three_way_dead_rung_tie/three_way_dead_rung_C.yaml,3,3,C,B,B,C,C,C,C,,,0,False,False,True
CYCLE_OR_THREE_WAY,01_STAR/tie_break_dead_rung/tie_break_04_runoff_five_star_breaks.yaml,2,2,Alice,Ben,Ben,Alice,Alice,Alice,Alice,,,0,False,False,True
CYCLE_OR_THREE_WAY,01_STAR/tie_break_dead_rung/tie_break_07_runoff_five_star_vs_adversarial_lot.yaml,2,2,Ann,Ben,Ben,Ben,Ben,Ben,Ben,,,0,False,False,True
CYCLE_OR_THREE_WAY,01_STAR/tie_break_dead_rung/tie_break_08_runoff_dead_rung_adversarial_lot.yaml,2,2,Ben,Ann,Ann,Ben,Ben,Ben,Ben,,,0,False,False,True
CYCLE_OR_THREE_WAY,01_STAR/tie_break_dead_rung/tie_break_09_five_star_tied_nonzero.yaml,2,2,Ben,Ann,Ann,Ben,Ben,Ben,Ben,,,0,False,False,True
CYCLE_OR_THREE_WAY,YAML_library/1_positive/lot_tiebreak_bv_order.yaml,2,2,Ben,Ada,Ada,Ben,Ben,Ben,Ben,,,0,False,False,True
CYCLE_OR_THREE_WAY,method_comparisons/BV_Library/BV_Library_star_runoff_tie_score_resolves.yaml,2,2,Bill,Bill,Bill,Allison,Allison,Allison,Bill,,,0,False,False,True
CYCLE_OR_THREE_WAY,method_comparisons/felsenthal_paradoxes/bv2147_9gdrqg_star.yaml,3,17,Bruno,Bruno,Bruno,Cora,Cora,Cora,Cora,,,0,False,False,True
CYCLE_OR_THREE_WAY,method_comparisons/felsenthal_paradoxes/bv2149_byk9v2_star.yaml,3,32,Bruno,Alma,Alma,Cora,Cora,Cora,Cora,,,0,False,False,True
CYCLE_OR_THREE_WAY,method_comparisons/felsenthal_paradoxes/bv2160_r6qc8h_star.yaml,4,7,B,A,A,C,C,B,B,,,0,False,False,True
CYCLE_OR_THREE_WAY,method_comparisons/felsenthal_paradoxes/bv2165_9vxcj7_star.yaml,3,15,Boone,Boone,Boone,Cass,Cass,Cass,Cass,,,0,False,False,True
CYCLE_OR_THREE_WAY,method_comparisons/felsenthal_paradoxes/bv2167_f3dxq9_star.yaml,4,11,B,C,C,A,A,B,B,,,0,False,False,True
CYCLE_OR_THREE_WAY,method_comparisons/monotonicity/monotonicity_star_after.yaml,3,34,X,Z,Z,X,X,X,X,,,0,False,False,True
CYCLE_OR_THREE_WAY,method_comparisons/monotonicity/monotonicity_star_before.yaml,3,34,X,X,X,Y,Y,Y,Y,,,0,False,False,True
CYCLE_OR_THREE_WAY,method_comparisons/no_condorcet_bv2138/bv2138_cxrf8v_star.yaml,5,921,Brad,Dave,Dave,Abby,Abby,Erin,Abby,,,0,False,False,True
CYCLE_OR_THREE_WAY,method_comparisons/paradoxes_and_whoops/bv2156_3grpbb_star_misses_condorcet.yaml,3,100,Ada,Ada,Bruno,Cleo,Cleo,Ada,Ada,Cleo,Cleo,25,True,False,False
CYCLE_OR_THREE_WAY,method_comparisons/participation_no_show/bv2174_yyhr66_noshow_baseline.yaml,3,54,Bruno,Bruno,Bruno,Celia,Celia,Celia,Celia,,,0,False,False,True
CYCLE_OR_THREE_WAY,method_comparisons/participation_no_show/bv2175_9dhv8y_noshow_showup.yaml,3,62,April,Celia,Celia,April,April,April,April,,,0,False,False,True
CYCLE_OR_THREE_WAY,method_comparisons/postit_rcv_example/bv2176_p8dp28_star.yaml,4,20,Blue,Purple,Purple,Blue,Blue,Pink,Purple,,,0,False,False,True
IRV_DIFFERS_ARTIFACT,01_STAR/_main/display_options_demo.yaml,4,4,Don,Bob,Don,Don,Bob,Ann,Bob,Don,,2,True,True,True
IRV_DIFFERS_ARTIFACT,01_STAR/_main/star_ala_approval.yaml,4,8,D,A,D,D,A,A,D,D,A,4,True,True,False
IRV_DIFFERS_ARTIFACT,01_STAR/majority_criterion/bv95b_7pdq3r_favorite_loses_two_rivals.yaml,3,5,Bruno,Ada,Ada,Ada,Ada,Bruno,Bruno,Ada,Ada,2,False,False,False
IRV_DIFFERS_ARTIFACT,01_STAR/tie_break_dead_rung/tie_break_05_scoring_five_star_vs_adversarial_lot.yaml,3,5,Ben,Cara,Ben,Ann,Cara,Ann,Ann,,,2,True,True,True
IRV_DIFFERS_ARTIFACT,01_STAR/tie_break_dead_rung/tie_break_06_scoring_dead_rung_adversarial_lot.yaml,3,5,Ann,Cara,Ben,Ann,Cara,Ann,Ann,,,2,True,True,True
IRV_OUTLIER_RR_WITH_STAR,01_STAR/_main/09_c4_b100_tennessee-capital.yaml,4,100,Nashville,Knoxville,Knoxville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,0,False,False,False
IRV_OUTLIER_RR_WITH_STAR,01_STAR/_main/bv2184_fyy886_lunch_vote.yaml,3,5,Pizza,Sushi,Sushi,Pizza,Pizza,Pizza,Pizza,Pizza,Pizza,0,False,False,False
IRV_OUTLIER_RR_WITH_STAR,YAML_library/1_positive/trash_delete.yaml,3,5,Pizza,Sushi,Sushi,Pizza,Pizza,Pizza,Pizza,Pizza,Pizza,0,False,False,False
IRV_OUTLIER_RR_WITH_STAR,method_comparisons/center_squeeze/center_squeeze_star.yaml,3,27,Center,Left,Left,Center,Center,Left,Center,Center,Center,0,False,False,False
IRV_OUTLIER_RR_WITH_STAR,method_comparisons/center_squeeze/center_squeeze_voteline_1d.yaml,3,998,Green,Yellow,Yellow,Green,Green,Green,Green,Green,Green,0,False,False,False
IRV_OUTLIER_RR_WITH_STAR,method_comparisons/center_squeeze_bv2137/bv2137_ywckmg_star.yaml,3,100,Anderson,Carter,Carter,Anderson,Anderson,Anderson,Anderson,Anderson,Anderson,0,False,False,False
IRV_OUTLIER_RR_WITH_STAR,method_comparisons/fairvote_condorcet_claims/bv2168_6w2gq7_fairvote_40_15_40_moderate_cw.yaml,3,100,Moderate,Liberal,Liberal,Moderate,Moderate,Liberal,Liberal,Moderate,Moderate,0,False,False,False
IRV_OUTLIER_RR_WITH_STAR,method_comparisons/felsenthal_paradoxes/bv2145_6fj2kg_star.yaml,3,17,Ada,Ben,Ben,Ada,Ada,Ada,Ada,Ada,Ada,0,False,False,False
IRV_OUTLIER_RR_WITH_STAR,method_comparisons/felsenthal_paradoxes/bv2150_dxg8pb_star.yaml,3,11,Beth,Carl,Carl,Beth,Beth,Beth,Beth,Beth,Beth,0,False,False,False
IRV_OUTLIER_RR_WITH_STAR,method_comparisons/felsenthal_paradoxes/bv2162_4htk44_star.yaml,4,103,B,A,A,B,B,B,B,B,B,0,False,False,False
IRV_OUTLIER_RR_WITH_STAR,method_comparisons/paradoxes_and_whoops/bv2155_cphxpt_tennessee_four_ways.yaml,4,100,Nashville,Knoxville,Knoxville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,0,False,False,False
IRV_OUTLIER_RR_WITH_STAR,method_comparisons/pet_poll_four_methods/bv2132_ykjjhy_pet_star.yaml,3,22,Cat,Fish,Fish,Cat,Cat,Cat,Cat,Cat,Cat,0,False,False,False
IRV_OUTLIER_RR_WITH_STAR,method_comparisons/pet_poll_four_winners/bv2133_dyxrbr_pet2_star.yaml,4,32,Cat,Fish,Fish,Cat,Cat,Bird,Cat,Cat,Cat,0,False,False,False
IRV_OUTLIER_RR_WITH_STAR,method_comparisons/split_voting/_main/04_star_wars_vote_split.yaml,3,100,Leia,Skywalker,Skywalker,Leia,Leia,Skywalker,Leia,Leia,Leia,0,False,False,False
IRV_OUTLIER_RR_WITH_STAR,method_comparisons/symmetric_centrist_all_methods/bv2171_h93tm4_star.yaml,3,8,Casey,Avery,Avery,Casey,Casey,Casey,Casey,Casey,Casey,0,False,False,False
IRV_OUTLIER_RR_WITH_STAR,method_comparisons/symmetric_centrist_all_methods/bv2172_bkwfjr_star.yaml,3,100,Casey,Avery,Avery,Casey,Casey,Casey,Casey,Casey,Casey,0,False,False,False
IRV_OUTLIER_RR_WITH_STAR,method_comparisons/symmetric_centrist_bv2170/bv2170_pp2q4q_star.yaml,3,100,Casey,Avery,Avery,Casey,Casey,Casey,Casey,Casey,Casey,0,False,False,False
STAR_OUTLIER_RR_WITH_IRV,01_STAR/_main/three_winners_cw_score_runoff.yaml,3,5,Bob,Ann,Ann,Ann,Ann,Bob,Carl,Ann,Ann,0,False,False,False
